date_start,date_end,alk,As,Ba,Br,Cd,Ca,Cl,Cr,Cu,doc,drp,ec25_sensor,ec20_lab,F,Fe,Pb,Mg,q_mean_sensor,Hg,Ni,NO3_N,O2C_sensor,O2S_sensor,pH_lab,pH_sensor,K,H4SiO4,Na,Sr,SO4,tfp,th,tn,toc,tp,tss,temp_sensor,Zn
1989-05-22 07:30:00,1989-06-05 07:30:00,2.36,,,,,54.108,2.7,,,1.4,0.011,,269.0,,,,4.6208,208.8291,,,0.79,,,8.22,,0.95,3.2,2.5,,29.0,,1.54,1.02,2.1,0.034,7,15.3906,
1989-06-05 07:20:00,1989-06-19 07:20:00,2.35,,,,,52.104,2.9,,,1.6,0.006,,255.0,,,,4.6208,169.9573,,,0.87,,,8.23,,1.07,3.0,2.8,,30.0,,1.49,1.46,1.8,0.029,11,15.3706,
1989-06-19 07:00:00,1989-07-03 08:00:00,2.16,,,,,48.096,2.9,,,1.5,,,249.0,,,,4.864,191.5491,,,0.73,,,8.26,,1.14,3.3,2.5,,29.0,,1.4,1.22,4.4,0.069,86.7,17.5383,
1989-07-03 07:30:00,1989-07-17 07:30:00,2.04,,,,,44.088,2.5,,,1.8,0.005,,237.0,,,,4.1344,241.911,,,0.63,,,8.2,,0.98,2.7,2.2,,28.0,,1.27,1.14,2.4,0.036,23.7,16.8966,
1989-07-17 07:50:00,1989-07-31 07:50:00,2.01,,,,,47.2944,2.2,,,1.2,0.017,,231.0,,,,4.1344,189.8085,,,0.6,,,8.31,,0.9,2.4,2.0,,28.0,,1.35,1.1,2.5,0.032,3,18.1636,
1989-07-31 08:00:00,1989-08-14 08:00:00,2.02,,,,,45.6912,3.1,,,1.3,,,226.0,,,,3.8912,219.3695,,,0.66,,,8.42,,0.99,2.8,2.0,,30.0,,1.3,1.1,3.9,,28.7,17.3412,
1989-08-14 08:00:00,1989-08-28 08:00:00,2.04,,,,,48.096,2.5,,,1.1,,,229.0,,,,3.648,223.8616,,,0.7,,,8.27,,0.97,2.6,2.2,,29.0,,1.35,,1.9,,17.3,18.3346,
1989-08-28 07:30:00,1989-09-11 07:30:00,2.05,,,,,49.2984,2.3,,,1.2,,,246.0,,,,3.8912,180.3731,,,0.84,,,8.05,,0.78,3.0,2.3,,28.0,,1.39,0.91,1.9,,16,15.8529,
1989-09-11 07:25:00,1989-09-25 07:25:00,2.06,,,,,46.4928,4.8,,,1.2,0.018,,258.0,,,,5.1072,121.4596,,,0.9,,,8.2,,1.01,2.2,3.2,,30.0,,1.37,1.04,1.3,0.027,4,17.4259,
1989-09-25 07:45:00,1989-10-09 07:45:00,2.15,,,,,48.8976,3.6,,,1.7,0.013,,270.0,,,,4.864,112.6903,,,0.83,,,8.2,,1.21,3.7,3.4,,33.0,,1.42,1.44,3.2,0.023,5.7,15.5755,
1989-10-09 07:30:00,1989-10-23 07:30:00,2.22,,,,,50.1,5.5,,,1.9,0.006,,274.0,,,,4.864,91.5825,,,1.21,,,8.14,,1.63,2.9,3.4,,33.0,,1.45,1.53,2.4,0.016,4,13.8544,
